,GSM2356843,GSM2356844,GSM2356845,GSM2356846,GSM2356847,GSM2356848,GSM2356849,GSM2356850,GSM2356851,GSM2356852,GSM2356853,GSM2356854,GSM2356855,GSM2356856,GSM2356857,GSM2356858,GSM2356859
Copg1,8.75280470588235,8.87329235294118,8.97023117647059,8.60378764705882,8.60634176470588,8.72106588235294,8.91125882352941,8.88937176470588,9.03542058823529,8.73423764705882,8.59548294117647,8.51909529411765,9.00725176470588,8.91713470588235,8.99913647058824,8.67577235294118,8.75918294117647
Atp6v0d1,11.2405823529412,11.1801647058824,11.2088176470588,11.0637882352941,11.0589235294118,11.1016941176471,11.1542294117647,11.1451882352941,11.0966,11.0186588235294,11.0337352941176,11.0812882352941,11.2593411764706,11.1525588235294,11.0010705882353,10.9558470588235,10.9927647058824
Golga7,10.7243058823529,10.7755411764706,10.7527823529412,10.8104235294118,10.8082705882353,10.7201117647059,10.7470058823529,10.6994941176471,10.7623058823529,10.8241411764706,10.7040882352941,10.8145941176471,10.6718647058824,10.6424647058824,10.5254529411765,10.8507235294118,10.8320764705882
Psph,7.94492117647059,8.19224676470588,8.05937411764706,8.26951705882353,8.15792882352941,8.23103647058823,7.97756764705882,7.98616764705882,8.03722,8.31363941176471,8.46373823529412,8.26844352941177,8.19938235294118,8.11335117647059,7.98652647058824,8.44237352941176,8.28134
Trappc4,8.53457882352941,8.57941,8.64787176470588,8.54344529411765,8.50524529411765,8.49894823529412,8.68846235294118,8.72593705882353,8.63965647058824,8.64275,8.71830352941176,8.73308235294118,8.65107235294118,8.71447176470588,8.85888294117647,8.72286529411765,8.77759117647059
Dpm2,8.13913647058824,8.08130705882353,8.17407941176471,8.03488941176471,8.02067852941176,8.11045529411765,8.25052352941177,8.10477176470588,8.13903735294118,7.98881411764706,8.11586764705882,8.04141647058823,8.18593823529412,8.19030588235294,8.35787058823529,8.50845117647059,8.24127529411765
Psmb5,10.4881352941176,10.5986294117647,10.6177117647059,10.3120588235294,10.3348176470588,10.2386941176471,10.6316147058824,10.5764411764706,10.5975323529412,10.4294235294118,10.3789176470588,10.6096411764706,10.6144411764706,10.6209352941176,10.7123441176471,10.5673911764706,10.5340352941176
Dhrs1,8.87830117647059,8.89220058823529,9.02690588235294,8.93849235294118,9.07555764705882,9.11065058823529,9.10890235294118,8.98435823529412,9.22039,9.50919823529412,9.43195,9.64530117647059,9.12715235294118,9.24349352941177,9.48193823529412,10.0886,10.0418735294118
Ppm1a,9.82718058823529,9.72667411764706,9.83682647058824,9.85278235294118,9.75225941176471,9.70380882352941,9.78775529411765,9.80754764705882,9.78221235294118,9.78775529411765,9.80399470588235,9.83626411764706,9.78411058823529,9.77996794117647,9.72156705882353,9.70898470588235,9.74445764705882
Psenen,9.95273,9.91684352941176,9.98811352941176,10.0077017647059,10.1540529411765,9.99476441176471,10.1004647058824,10.0381417647059,9.99198058823529,10.1472235294118,10.0674141176471,10.1746411764706,10.0474082352941,10.0355076470588,10.2765882352941,10.2707176470588,10.2981205882353
