,GSM2356843,GSM2356844,GSM2356845,GSM2356849,GSM2356850,GSM2356851,GSM2356855,GSM2356856,GSM2356857,GSM2356846,GSM2356847,GSM2356848,GSM2356852,GSM2356853,GSM2356854,GSM2356858,GSM2356859
ARHGAP27,6.976676471,7.099457647,6.858829412,6.93806,6.887445294,6.931065882,6.854342941,6.878776471,6.796615294,7.426502941,7.397846471,7.379311765,7.360487647,7.925475294,7.747412941,7.362373529,7.120374706
ARHGAP29,5.563797647,5.364714706,5.428815294,5.526558824,5.222296471,5.297595294,5.251069412,5.485339412,5.496297647,5.403145294,6.018527059,5.360133529,5.549658824,5.368385294,5.218364706,5.572944118,6.076957647
ARHGAP31,7.472224118,7.327357647,7.349088235,7.65129,7.559433529,7.608604118,7.318382941,7.384099412,7.42245,6.660572941,6.591970588,6.669637647,6.372235294,6.123411176,6.418662941,6.126784706,6.436213529
ARHGAP35,10.34648235,10.28216471,10.31909412,10.24918824,10.21144118,10.16840588,10.11815882,10.20639412,10.19941176,10.04740824,9.895333529,10.19035882,9.770578235,9.761154706,9.764155882,9.738872353,9.972817647
ARHGAP39,8.819627647,8.8281,8.674008824,8.46976,8.515391765,8.632975882,8.738781471,8.59367,8.383212941,8.869241176,8.821149412,8.905348824,8.607972353,8.807904706,8.976393529,8.746727647,8.646849412
ARHGAP4,5.663942941,5.715472941,5.616115294,5.77391,5.482592353,5.747298824,5.737748824,5.717332941,5.636765294,5.028738235,5.085954706,4.985245294,5.284647059,5.305571176,5.410937059,5.338314118,5.412905294
ARHGAP45,6.838649412,6.737164118,6.623140588,6.753950588,6.856023529,6.854462353,6.680895294,6.681246471,6.782728235,6.533609412,6.515568235,6.452166471,6.481421176,6.501058235,6.725654706,6.776304118,6.733328824
ARHGAP5,2.739574706,2.664081471,2.767779412,3.076281176,3.079634706,3.289752941,3.139133529,2.755164118,3.150989412,2.798607647,3.156035882,2.588295294,3.05307,2.757112941,2.813441176,2.577822353,3.230244118
ARHGAP6,5.212419412,4.980454118,5.222446471,4.808625882,5.075875882,5.068382353,5.394953529,4.86965,4.832381765,5.792922353,5.945168824,5.573555882,5.276900588,5.727662941,5.221815294,5.418867059,5.307171176
ARHGAP8,8.524985294,8.597899412,8.427368235,8.346545294,8.339189412,8.416193529,8.608141765,8.435877647,8.23592,8.367428824,8.414216471,8.348938235,8.248817647,8.345655882,8.151593529,8.651266471,8.456952941
ARHGAP9,8.818574118,8.785731176,8.669624412,8.647871765,8.599365882,8.608141765,8.595245294,8.638988235,8.374435882,7.906352353,7.710115882,8.12402,7.917076471,7.673375882,7.648598824,7.827274118,8.074337647
ARHGDIA,3.768681176,3.749369412,3.948438824,4.095062941,3.778387647,3.852907059,3.996002353,3.928394706,3.93856,3.348575294,3.688302353,3.91224,4.123287059,4.060096471,3.667832941,4.511061765,4.208547941
ARHGDIB,4.942155882,5.075875882,5.047451176,5.022099412,4.966411765,5.134978824,5.038897647,5.086283529,4.866998824,5.115541471,4.999906471,5.132351176,4.902936471,5.139594118,5.145186471,5.755464706,5.139748529
ARHGDIG,6.609272353,6.801181765,6.943668235,6.969484706,6.962447059,6.990657059,7.09959,6.960524706,7.436132353,6.985888824,6.784547647,6.658314706,6.866178235,6.73519,7.027842353,5.295918824,5.662006471
ARHGEF1,3.232107647,3.221258824,4.026724706,2.930891765,3.107985882,3.010649412,3.133877647,3.368302941,2.708412353,3.484021765,3.417870588,3.049551765,3.258471765,2.951764118,3.061231765,3.192877647,3.129275882
ARHGEF10,5.231035294,5.352006471,5.697413824,5.400397647,5.564905882,5.836356471,5.504519412,5.389268235,5.382789412,5.458198235,5.255616471,5.61304,5.440284706,5.461654118,5.375609412,5.653541176,5.651898824
ARHGEF10L,2.555058235,2.412684118,2.668912941,2.569658235,2.446732941,2.505870588,2.758031765,2.554063529,2.54815,2.618052941,2.656979412,2.50439,2.630400588,2.687383529,2.790365882,2.820044706,2.985384706
ARHGEF12,10.53244118,10.62588235,10.58192353,10.49481765,10.57730588,10.46426176,10.77862941,10.70043529,10.2506,10.68400588,10.62670588,10.67631176,10.84071765,10.80577059,10.87307647,11.03710588,10.88305882
ARHGEF16,7.1164,7.150453529,7.224994706,7.284837059,7.287057647,7.306715882,7.573506471,7.614308235,7.909399412,7.491142353,7.481284706,7.327092941,8.213074706,8.199382353,8.285346471,8.778912941,8.749689412
ARHGEF18,9.020388824,8.970505882,9.029865882,9.047341176,9.105802353,9.035693529,9.173482941,9.134625882,8.954174118,9.024958235,9.063470588,9.187792059,8.759483529,8.781827059,8.789762353,8.575539706,8.55412
ARHGEF2,7.757345294,7.720741176,7.663541765,7.833538824,7.852607059,7.919637059,7.885480588,7.912785294,7.338093529,7.6168,7.671502941,7.561880588,7.748271765,7.357778235,7.603072941,7.940548235,7.884186471
ARHGEF25,7.505728235,7.729525294,7.408385294,7.521508824,7.393675882,7.706137059,7.320008235,7.312093824,7.211282941,7.927670588,8.062323529,8.020416471,7.666917059,7.747905882,7.842702353,7.829448235,7.743361176
ARHGEF28,6.860447059,6.621685588,6.685656471,6.654427059,6.531090588,6.662493529,6.757437647,6.775216471,6.335467647,6.492861176,6.319405294,6.429106471,6.134430588,5.957262941,5.960054706,6.491604118,6.429674706
ARHGEF3,10.21144118,10.17509412,10.18561765,10.21332941,10.16526471,10.10625882,10.06939647,10.21465294,10.07857647,10.15778824,10.28692353,10.17758235,10.3564,10.21710588,10.18353529,10.50024706,10.50794118
ARHGEF40,5.181627647,5.042296471,5.170766471,5.217637647,5.044706471,5.313488235,5.373590588,5.336239412,4.941382941,4.938101176,5.159712353,5.084997647,5.501632353,5.505266471,5.113382941,5.511230588,5.387792353
ARHGEF5,8.406966471,8.157750588,8.197866471,8.172021765,8.233042941,8.167272941,8.326358824,8.252091765,7.937161176,7.990281176,8.235118235,8.122482941,8.14536,7.979983529,8.28777,8.075238235,8.211694706
ARHGEF7,8.124157647,8.245098235,8.295524118,8.234940588,8.375215294,8.309804706,8.252648235,8.211694706,8.328446471,7.512532941,7.204575294,7.305939412,7.472672353,7.23138,7.554562941,7.476122941,7.613312941
