id,GSM2356843,GSM2356844,GSM2356845,GSM2356846,GSM2356847,GSM2356848,GSM2356849,GSM2356850,GSM2356851,GSM2356852,GSM2356853,GSM2356854,GSM2356855,GSM2356856,GSM2356857,GSM2356858,GSM2356859
PRKDC,4.307392353,4.257157647,4.332668235,4.148531176,4.586066471,4.686892353,3.991604118,4.533702353,4.601904118,4.765545882,3.929150588,4.265875,4.445368235,4.382314706,4.309268824,4.721153529,4.622352941
PTGER4,7.610076471,7.459755882,7.431254118,6.654036471,6.873535882,7.072379412,7.620482353,7.578969412,7.503802353,6.87622,6.710020588,6.857252353,7.501075,7.506268235,7.695148824,7.286878824,7.386317059
PTGES,2.981721176,2.992282353,3.345837647,2.996277647,2.662813529,2.935442941,3.331593529,3.638815882,3.301158235,3.081792941,2.780181176,2.804624706,3.247298824,3.246934118,3.297577059,3.221078824,2.909803529
PTGS2,6.928627941,6.668472353,6.612688824,6.002032941,6.171122353,6.313908235,7.01376,6.783105882,6.985755294,6.083359412,5.793636471,6.147104118,6.988612941,6.887805294,7.297108824,6.749144706,6.781768529
PTK2B,6.534542353,6.680895294,6.703314118,6.550256471,6.609512353,6.734497647,6.644009412,6.716016765,6.688848824,6.534238235,6.750998235,6.573565294,6.522532941,6.57152,6.719037059,7.158062353,7.017138235
PTPRS,7.151021765,7.240175,6.960092353,6.950982353,7.054975294,6.839692941,7.238429412,7.185201765,7.187612941,7.219277647,6.860814118,6.978682353,7.167087647,7.296302941,6.734657059,7.417494118,7.327215294
RIPK1,6.570046471,7.039356471,7.021046765,7.206269412,7.604366471,6.912477647,6.622598235,6.770792941,6.857252353,7.82154,7.715711765,7.821741176,6.835158235,6.58939,7.127432353,7.261788235,7.621297941
ROCK1,3.512492941,3.719357059,3.730830588,3.694436765,3.70031,3.590559412,3.720936176,3.719021176,3.488200588,3.611145294,4.205202941,3.586235882,3.502274706,3.848443529,3.991042941,3.973139412,3.671359412
RPS6KA2,8.493208235,8.530467647,8.664174118,8.853342353,8.820247059,8.942825294,8.576511176,8.481852941,8.573347059,8.757311765,8.887665882,8.915051765,8.635158235,8.601397647,8.712684118,8.377294118,8.551080588
RPS6KA3,6.171502941,6.099259706,6.009312941,5.833101176,5.921666471,5.814236176,6.051748235,6.155303529,6.127247059,5.644917059,5.833825294,5.827703529,5.984578824,6.105204706,5.921588235,6.053249412,6.034859412
RPS6KB1,7.362373529,7.257272353,7.187310588,7.653502941,7.560333529,7.651968824,7.325107647,7.343276471,7.458721176,7.776219412,7.929811176,7.912933529,7.237598235,7.240106471,7.287979412,7.960739412,7.932302353
SCARB1,3.236564118,2.967629412,3.131242941,3.351773529,3.312607059,3.011142059,2.992725294,2.984235294,2.847872353,3.092085294,2.850815294,2.908287059,2.916918235,2.956351176,3.373614118,3.20242,3.002304118
SELE,7.201377059,7.118926471,7.206954118,7.126341765,7.056320588,7.075828235,7.145762941,7.204723529,7.175571176,7.081912941,6.833291176,6.898054118,7.219277647,7.247274706,7.084431471,7.094441765,7.183625882
SLC16A1,5.501632353,5.767476176,5.903115294,6.486794706,6.432964118,6.886114706,5.157019412,5.396471765,5.406765882,6.569050588,6.734335294,6.650763529,5.719355294,5.578557059,5.071966471,6.318427059,6.339912941
SRC,8.697144118,8.665288235,8.586057647,9.324705882,9.375188824,9.15723,8.674008824,8.596078235,8.620187059,9.512336471,9.609328235,9.608315294,8.610847647,8.647871765,8.285511176,9.348884118,9.166105294
TACR3,8.766574118,8.683275588,8.72136,8.832731176,8.936758824,8.750704706,8.431715882,8.569051176,8.449714706,8.701354706,8.691511176,8.817936471,8.598398235,8.57866,8.383439412,9.099218235,8.898047059
TGM2,5.605457647,5.492537059,5.538435294,5.364162941,5.689814706,5.367254118,5.504691176,5.547513529,5.239974706,5.875027647,5.477314706,5.680704118,5.511457647,5.490559412,5.528655294,5.314652353,5.543318824
TOP1,4.503265882,4.610244412,4.562473529,4.785502941,4.431912941,4.549428235,4.641616471,4.582723529,4.711251765,4.821034118,4.852397059,4.515685882,4.441261765,4.595359412,4.303789412,4.679724118,4.383162941
XDH,4.288384118,4.334700588,4.47242,4.393312941,4.281589412,4.459369412,4.596865294,4.595049412,4.646513824,4.653331765,4.401962353,4.616333529,5.040115882,4.367646471,4.981798824,3.323804706,3.235767353
